,team,playerid,name,assists,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,round,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,GW,fdr
2234,8,148,Jordan_Pickford_148,0,1,0.0,0,0,1.9,19.2,90,4,22,2,0.0,1.0,0.0,5,53,True,1,22,2.0
2235,8,150,Richarlison_de Andrade_150,0,1,15.6,0,1,14.1,48.0,90,4,22,0,0.0,1.0,77.0,10,80,True,0,22,2.0
2236,9,159,Ricardo Domingos_Barbosa Pereira_159,0,0,1.8,2,0,2.3,21.4,90,16,22,0,2.0,1.0,0.0,1,64,True,0,22,3.0
2237,9,160,Harry_Maguire_160,0,1,2.0,0,0,2.3,20.6,90,14,22,0,0.0,4.0,0.0,6,52,True,0,22,1.0
2238,9,161,Benjamin_Chilwell_161,0,0,15.0,2,0,3.2,13.2,90,16,22,0,2.0,1.0,4.0,1,57,True,0,22,3.0
2239,9,162,Jonny_Evans_162,0,0,0.5,2,0,6.1,27.8,90,16,22,0,2.0,1.0,33.0,1,53,True,0,22,3.0
2240,9,164,Çaglar_Söyüncü_164,0,0,0.3,2,0,2.0,19.6,90,16,22,0,2.0,1.0,0.0,1,51,True,0,22,3.0
2241,9,166,Jamie_Vardy_166,1,0,20.8,2,0,4.7,24.4,90,16,22,0,2.0,1.0,2.0,5,100,True,0,22,3.0
2242,9,168,Kasper_Schmeichel_168,0,0,0.0,2,0,4.9,48.8,90,16,22,7,2.0,1.0,0.0,4,54,True,0,22,3.0
2243,9,171,James_Maddison_171,0,0,24.5,2,0,2.9,4.2,90,16,22,0,2.0,1.0,0.0,2,77,True,0,22,3.0
2244,9,172,Harvey_Barnes_172,0,0,1.7,1,0,1.3,3.8,57,16,22,0,2.0,1.0,7.0,1,59,True,0,22,3.0
2245,10,181,Andrew_Robertson_181,0,1,10.9,0,0,2.7,6.4,90,17,22,0,1.0,0.0,10.0,6,70,False,0,22,4.0
2246,10,182,Trent_Alexander-Arnold_182,0,1,15.2,0,0,4.6,24.6,90,17,22,0,1.0,0.0,6.0,6,75,False,0,22,4.0
2247,10,183,Virgil_van Dijk_183,0,1,0.9,0,0,5.7,23.4,90,17,22,0,1.0,0.0,33.0,6,64,False,0,22,4.0
2248,10,187,Roberto_Firmino_187,0,1,45.4,0,1,17.7,49.8,90,17,22,0,1.0,0.0,82.0,9,93,False,0,22,4.0
2249,10,189,Alisson_Ramses Becker_189,0,1,0.0,0,0,2.5,24.8,90,17,22,4,1.0,0.0,0.0,9,60,False,0,22,4.0
2250,10,191,Mohamed_Salah_191,1,1,40.2,0,0,9.3,22.6,90,17,22,0,1.0,0.0,30.0,6,123,False,0,22,4.0
2251,10,192,Sadio_Mané_192,0,1,10.6,0,0,5.4,12.6,80,17,22,0,1.0,0.0,31.0,3,123,False,0,22,4.0
2252,10,198,Jordan_Henderson_198,0,1,20.1,0,0,4.1,15.2,90,17,22,0,1.0,0.0,6.0,3,54,False,0,22,4.0
2253,10,199,Georginio_Wijnaldum_199,0,1,6.9,0,0,4.5,12.6,90,17,22,0,1.0,0.0,25.0,3,54,False,0,22,4.0
2254,11,203,Kyle_Walker_203,0,0,0.0,0,0,0.0,0.0,0,2,22,0,6.0,1.0,0.0,0,58,False,0,22,2.0
2255,11,210,Sergio_Agüero_210,1,0,25.3,1,3,26.5,131.0,90,2,22,0,6.0,1.0,109.0,20,117,False,0,22,2.0
2256,11,211,Gabriel Fernando_de Jesus_211,1,0,20.8,1,1,14.9,52.0,90,2,22,0,6.0,1.0,76.0,10,95,False,0,22,2.0
2257,11,212,Ederson_Santana de Moraes_212,0,0,0.0,1,0,0.3,2.8,90,2,22,0,6.0,1.0,0.0,2,60,False,0,22,2.0
2258,11,214,Raheem_Sterling_214,0,0,0.0,0,0,0.0,0.0,0,2,22,0,6.0,1.0,0.0,0,118,False,0,22,2.0
2259,11,215,Kevin_De Bruyne_215,2,1,40.7,0,0,8.9,42.6,62,2,22,0,6.0,1.0,6.0,9,106,False,0,22,2.0
2260,11,217,Riyad_Mahrez_217,1,0,40.8,1,2,19.3,94.4,90,2,22,0,6.0,1.0,58.0,17,84,False,0,22,2.0
2261,11,218,Bernardo Mota_Veiga de Carvalho e Silva_218,0,0,0.0,0,0,0.0,0.0,0,2,22,0,6.0,1.0,0.0,0,78,False,0,22,2.0
